id,price,rooms,floor,full_area,living_area,kitchen_area,num_storeys,typical_panel,concrete_monolithic,old_brick,first_rental,adjacent_separate,ukrainian_brick,eurorenovation,satisfactory_condition,multilevel,kitchen_living_room,penthouse,old_panel,good_condition,pre_revolutionary,gas_block,repair_in_progress,free_planning,adjacent,separate,ukrainian_panel,Stalinka,excellent_condition,studio,designer_renovation,safe,shower_cabin,wardrobe,TV,hair_dryer,dishes,satellite_TV,DVD_player,washing_machine,fireplace,dishwashers,alarms,bed,counters,air_conditioning,refrigerator,jacuzzi,microwave,iron,cable_TV,lat,lon,district_lat,district_lon,min_dist_to_subway,dist_to_center,full_area_log,floor_other,num_storeys_other,living_area_log,kitchen_area_log,last_floor,first_floor,full_area|kitchen_area_log,dist_to_center|full_area_log,dist_to_center|full_area_log|kitchen_area,subway,district,needs_repairs
10653369,6000,2,1,51.0,31.0,8.0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.520552050000006,30.611300470353,50.4752831,30.6816924,6.754437940365465,10.098628920438298,3.951243718581428,1,9,3.4339872044851463,2.19722457733622,False,True,23.21110027898435,2.5558101802092583,4120.240599538825,лісова,Деснянський,0
9902400,10000,1,5,61.0,18.0,18.0,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4965216,30.4663999,50.5079205,30.520662466796946,2.528325260990373,6.402978703491101,4.127134385045092,5,25,2.8903717578961645,2.9444389791664403,False,False,20.717019585601623,1.551434507849481,7030.470616433229,мінська,Оболонський,0
10821376,15000,2,8,78.0,29.0,10.0,24,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4685691,30.4315474,50.467421,30.463848,0.86830206406409,6.639563235814139,4.3694478524670215,8,24,3.367295829986474,2.3978952727983707,False,False,32.52852653109121,1.519542848432301,5178.859323935028,сирець,Шевченківський,0
10808252,12000,1,23,50.0,25.0,15.0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3914756,30.626633,50.429108,30.6424672,0.8911892130286165,9.993869852287377,3.9318256327243257,23,25,3.218875824868201,2.772588722239781,False,False,18.033688011112044,2.5417886716819424,7495.402389215533,позняки,Дарницький,0
10621927,13000,2,5,61.0,35.0,9.0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4667469,30.3533579278516,50.459437050000005,30.331931174544472,0.2285455822909098,12.018155161658196,4.127134385045092,5,16,3.555348061489413,2.302585092994046,False,False,26.49196339609836,2.911985421460148,6597.96718375035,академмістечко,Святошинський,0
10683860,190000,4,8,190.0,120.0,25.0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.40699145000001,30.557343314590163,50.44582665,30.53806236407185,0.5764314627980028,5.501461801106256,5.25227342804663,8,10,4.787491742782046,3.258096538021482,False,False,58.31625852172562,1.047443907190548,26131.943555254715,видубичі,Печерський,0
10737409,5000,1,5,28.0,17.0,8.0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4899267,30.590672353784623,50.45182665,30.611397100290525,4.155768710437052,6.623143800473228,3.367295829986474,5,9,2.833213344056216,2.19722457733622,False,False,12.743349172775725,1.9669028605959555,1483.584211306003,дарниця,Дніпровський,0
10759581,49400,4,10,160.0,85.0,40.0,23,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.41404525,30.54049408280351,50.44582665,30.53806236407185,0.45948180618384155,4.298118617237585,5.081404364984463,10,23,4.442651256490317,3.713572066704308,False,False,43.08520129030256,0.8458525062196516,27507.959150320545,дружби народів,Печерський,0
10774526,10200,1,5,67.0,24.0,20.0,20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.3914756,30.626633,50.429108,30.6424672,0.8911892130286165,9.993869852287377,4.219507705176107,5,20,3.1780538303479458,3.044522437723423,False,False,22.00673549645442,2.3684919072497035,13391.785602065083,позняки,Дарницький,0
10789167,40000,3,3,140.0,60.0,12.0,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4246926,30.500965,50.4398558,30.4886551,1.2108499381384863,3.199985992716564,4.948759890378168,3,12,4.0943445622221,2.5649493574615367,False,False,54.58197433517921,0.6466238135615084,5375.976467763827,олімпійська,Солом'янський,0
