iter	Passed	Remaining
418	2507	3477
419	2513	3470
420	2519	3464
421	2524	3457
422	2530	3451
423	2536	3445
424	2541	3438
425	2549	3434
426	2555	3429
427	2560	3422
428	2566	3415
429	2572	3410
430	2578	3404
431	2583	3397
432	2588	3389
433	2593	3382
434	2598	3375
435	2604	3369
436	2611	3364
437	2617	3357
438	2621	3350
439	2626	3342
440	2631	3335
441	2637	3330
442	2642	3322
443	2647	3314
444	2652	3307
445	2657	3301
446	2663	3295
447	2671	3291
448	2677	3285
449	2682	3278
450	2687	3271
451	2692	3264
452	2698	3258
453	2704	3252
454	2709	3245
455	2715	3238
456	2720	3232
457	2726	3227
458	2735	3223
459	2741	3217
460	2746	3210
461	2751	3203
462	2756	3196
463	2762	3191
464	2767	3184
465	2773	3177
466	2778	3170
467	2782	3163
468	2787	3156
469	2793	3150
470	2799	3143
471	2805	3137
472	2811	3132
473	2817	3126
474	2823	3120
475	2828	3113
476	2833	3106
477	2839	3101
478	2845	3095
479	2850	3088
480	2856	3082
481	2862	3076
482	2869	3071
483	2875	3065
484	2881	3059
485	2886	3053
486	2891	3045
487	2897	3039
488	2906	3037
489	2912	3030
490	2917	3024
491	2922	3017
492	2927	3011
493	2936	3007
494	2941	3001
495	2947	2994
496	2952	2987
497	2957	2980
498	2963	2975
499	2968	2968
500	2973	2961
501	2978	2955
502	2983	2948
503	2991	2943
504	2996	2937
505	3002	2931
506	3008	2925
507	3013	2918
508	3018	2911
509	3024	2905
510	3029	2899
511	3035	2893
512	3041	2886
513	3046	2880
514	3054	2876
515	3059	2870
516	3065	2863
517	3072	2858
518	3077	2852
519	3083	2846
520	3088	2839
521	3092	2832
522	3100	2827
523	3105	2820
524	3110	2814
525	3116	2808
526	3122	2802
527	3131	2798
528	3135	2792
529	3141	2785
530	3147	2779
531	3152	2773
532	3159	2768
533	3164	2761
534	3169	2754
535	3174	2747
536	3179	2741
537	3184	2734
538	3190	2728
539	3196	2722
540	3201	2716
541	3207	2710
542	3211	2703
543	3217	2697
544	3224	2692
545	3229	2685
546	3236	2679
547	3241	2673
548	3246	2666
549	3252	2661
550	3258	2655
551	3264	2649
552	3269	2642
553	3275	2636
554	3281	2631
555	3286	2624
556	3291	2618
557	3297	2612
558	3303	2605
559	3308	2599
560	3315	2594
561	3321	2588
562	3326	2582
563	3333	2576
564	3337	2569
565	3343	2563
566	3349	2558
567	3355	2552
568	3362	2546
569	3367	2540
570	3373	2534
571	3378	2528
572	3385	2523
573	3391	2517
574	3396	2510
575	3402	2504
576	3407	2498
577	3412	2491
578	3418	2485
579	3423	2479
580	3428	2472
581	3433	2465
582	3438	2459
583	3444	2453
584	3453	2450
585	3458	2443
586	3464	2437
587	3469	2431
588	3475	2425
589	3482	2420
590	3487	2413
591	3492	2407
592	3498	2401
593	3504	2395
594	3509	2389
595	3515	2382
596	3521	2377
597	3527	2371
598	3533	2365
599	3540	2360
600	3546	2354
601	3550	2347
602	3555	2341
603	3561	2334
604	3566	2328
605	3573	2323
606	3579	2317
607	3585	2311
608	3591	2306
609	3596	2299
610	3603	2293
611	3608	2287
612	3613	2281
613	3618	2274
614	3624	2268
615	3629	2262
616	3635	2256
617	3641	2250
618	3646	2244
619	3651	2238
620	3656	2231
621	3663	2226
622	3669	2220
623	3676	2215
624	3682	2209
625	3689	2204
626	3694	2197
627	3700	2191
628	3706	2185
629	3712	2180
630	3717	2173
631	3722	2167
632	3727	2161
633	3733	2155
634	3741	2150
635	3747	2144
636	3752	2138
637	3757	2132
638	3762	2125
639	3769	2120
640	3773	2113
641	3778	2107
642	3784	2101
643	3789	2094
644	3795	2088
645	3801	2083
646	3807	2077
647	3813	2071
648	3818	2065
649	3824	2059
650	3830	2053
651	3836	2047
652	3841	2041
653	3847	2035
654	3853	2029
655	3860	2024
656	3866	2018
657	3873	2013
658	3878	2006
659	3883	2000
660	3889	1994
661	3894	1988
662	3899	1982
663	3906	1976
664	3912	1970
665	3916	1964
666	3923	1958
667	3928	1952
668	3936	1947
669	3941	1941
670	3946	1935
671	3951	1928
672	3956	1922
673	3963	1917
674	3970	1911
675	3975	1905
676	3982	1900
677	3987	1893
678	3992	1887
679	3997	1881
680	4002	1874
681	4007	1868
682	4012	1862
683	4016	1855
684	4021	1849
685	4028	1844
686	4034	1838
687	4040	1832
688	4046	1826
689	4051	1820
690	4058	1814
691	4063	1808
692	4068	1802
693	4075	1796
694	4080	1790
695	4085	1784
696	4092	1779
697	4098	1773
698	4104	1767
699	4110	1761
700	4118	1756
701	4124	1750
702	4128	1744
703	4134	1738
704	4139	1731
705	4144	1725
706	4150	1720
707	4156	1714
708	4161	1707
709	4167	1702
710	4172	1695
711	4177	1689
712	4182	1683
713	4188	1677
714	4196	1672
715	4201	1666
716	4206	1660
717	4211	1654
718	4217	1648
719	4225	1643
720	4231	1637
721	4236	1631
722	4241	1625
723	4246	1618
724	4253	1613
725	4258	1607
726	4263	1601
727	4268	1594
728	4273	1588
729	4278	1582
730	4286	1577
731	4291	1571
732	4295	1564
733	4301	1558
734	4305	1552
735	4311	1546
736	4318	1540
737	4323	1534
738	4328	1528
739	4332	1522
740	4337	1516
741	4342	1510
742	4349	1504
743	4355	1498
744	4361	1492
745	4367	1486
746	4373	1481
747	4379	1475
748	4385	1469
749	4390	1463
750	4396	1457
751	4401	1451
752	4408	1445
753	4413	1439
754	4419	1434
755	4425	1428
756	4430	1422
757	4437	1416
758	4443	1410
759	4448	1404
760	4453	1398
761	4458	1392
762	4464	1386
763	4470	1380
764	4476	1375
765	4482	1369
766	4487	1363
767	4493	1357
768	4498	1351
769	4504	1345
770	4512	1340
771	4518	1334
772	4524	1328
773	4529	1322
774	4533	1316
775	4538	1310
776	4546	1304
777	4552	1299
778	4557	1293
779	4562	1286
780	4567	1280
781	4575	1275
782	4581	1269
783	4589	1264
784	4596	1259
785	4603	1253
786	4612	1248
787	4618	1242
788	4623	1236
789	4628	1230
790	4634	1224
791	4642	1219
792	4649	1213
793	4655	1207
794	4661	1202
795	4668	1196
796	4674	1190
797	4681	1184
798	4686	1178
799	4691	1172
800	4698	1167
801	4705	1161
802	4710	1155
803	4716	1149
804	4723	1144
805	4728	1138
806	4732	1131
807	4739	1126
808	4744	1120
809	4750	1114
810	4756	1108
811	4761	1102
812	4767	1096
813	4773	1090
814	4777	1084
815	4785	1079
816	4791	1073
817	4796	1067
818	4804	1061
819	4809	1055
820	4816	1050
821	4821	1044
822	4826	1038
823	4833	1032
824	4838	1026
825	4845	1020
826	4852	1015
827	4857	1008
828	4862	1003
829	4868	997
830	4874	991
831	4881	985
832	4886	979
833	4892	973
834	4898	967
835	4904	962
836	4910	956
837	4915	950
838	4921	944
839	4925	938
840	4930	932
841	4935	926
842	4940	920
843	4945	914
844	4952	908
845	4958	902
846	4963	896
847	4969	890
848	4975	884
849	4980	878
850	4985	872
851	4991	867
852	4999	861
853	5004	855
854	5009	849
855	5015	843
856	5021	837
857	5027	832
858	5032	826
859	5037	820
860	5043	814
861	5048	808
862	5053	802
863	5059	796
864	5064	790
865	5069	784
866	5074	778
867	5080	772
868	5086	766
869	5094	761
870	5098	755
871	5103	749
872	5108	743
873	5113	737
874	5120	731
875	5125	725
876	5131	719
877	5137	713
878	5143	708
879	5150	702
880	5155	696
881	5161	690
882	5166	684
883	5172	678
884	5177	672
885	5184	667
886	5189	661
887	5195	655
888	5201	649
889	5206	643
890	5211	637
891	5215	631
892	5221	625
893	5228	619
894	5234	614
895	5240	608
896	5245	602
897	5251	596
898	5257	590
899	5262	584
900	5267	578
901	5272	572
902	5278	567
903	5283	561
904	5291	555
905	5297	549
906	5302	543
907	5307	537
908	5312	531
909	5321	526
910	5326	520
911	5332	514
912	5338	508
913	5344	502
914	5350	497
915	5356	491
916	5361	485
917	5366	479
918	5371	473
919	5378	467
920	5383	461
921	5389	455
922	5394	449
923	5398	444
924	5403	438
925	5411	432
926	5417	426
927	5422	420
928	5428	414
929	5433	408
930	5441	403
931	5447	397
932	5453	391
933	5458	385
934	5464	379
935	5472	374
936	5477	368
937	5483	362
938	5488	356
939	5494	350
940	5499	344
941	5504	338
942	5509	333
943	5514	327
944	5520	321
945	5526	315
946	5532	309
947	5537	303
948	5542	297
949	5550	292
950	5555	286
951	5561	280
952	5567	274
953	5573	268
954	5581	263
955	5587	257
956	5592	251
957	5597	245
958	5602	239
959	5610	233
960	5616	227
961	5622	222
962	5628	216
963	5633	210
964	5640	204
965	5646	198
966	5653	192
967	5659	187
968	5664	181
969	5670	175
970	5676	169
971	5681	163
972	5688	157
973	5693	151
974	5701	146
975	5707	140
976	5713	134
977	5719	128
978	5723	122
979	5730	116
980	5735	111
981	5740	105
982	5745	99
983	5749	93
984	5755	87
985	5763	81
986	5768	75
987	5775	70
988	5780	64
989	5786	58
990	5793	52
991	5799	46
992	5806	40
993	5812	35
994	5817	29
995	5822	23
996	5827	17
997	5833	11
998	5838	5
999	5844	0
