iter	Passed	Remaining
416	2628	3675
417	2634	3667
418	2640	3660
419	2645	3652
420	2650	3644
421	2657	3639
422	2662	3631
423	2667	3623
424	2673	3617
425	2679	3610
426	2684	3602
427	2690	3595
428	2696	3588
429	2701	3581
430	2708	3575
431	2713	3567
432	2718	3559
433	2724	3553
434	2730	3546
435	2736	3540
436	2745	3537
437	2750	3529
438	2757	3523
439	2762	3516
440	2768	3509
441	2773	3501
442	2778	3493
443	2785	3488
444	2790	3480
445	2795	3472
446	2802	3467
447	2807	3459
448	2814	3454
449	2819	3446
450	2825	3439
451	2831	3432
452	2836	3425
453	2841	3417
454	2848	3411
455	2853	3404
456	2862	3400
457	2870	3396
458	2875	3388
459	2881	3383
460	2887	3375
461	2892	3367
462	2898	3361
463	2904	3354
464	2909	3347
465	2915	3341
466	2920	3333
467	2925	3326
468	2932	3320
469	2937	3312
470	2942	3305
471	2948	3298
472	2953	3290
473	2959	3284
474	2967	3280
475	2972	3272
476	2979	3267
477	2985	3260
478	2990	3252
479	2997	3247
480	3003	3240
481	3009	3234
482	3014	3227
483	3019	3219
484	3026	3213
485	3031	3205
486	3036	3198
487	3042	3192
488	3047	3184
489	3052	3177
490	3060	3172
491	3066	3166
492	3072	3159
493	3078	3153
494	3083	3146
495	3090	3140
496	3095	3132
497	3100	3125
498	3106	3118
499	3111	3111
500	3117	3104
501	3124	3099
502	3129	3092
503	3134	3084
504	3141	3078
505	3146	3071
506	3152	3065
507	3159	3059
508	3164	3052
509	3169	3044
510	3177	3040
511	3182	3033
512	3189	3027
513	3193	3019
514	3199	3013
515	3205	3007
516	3211	2999
517	3215	2992
518	3222	2986
519	3227	2979
520	3232	2972
521	3239	2966
522	3245	2959
523	3250	2952
524	3257	2947
525	3262	2939
526	3268	2933
527	3276	2928
528	3281	2921
529	3287	2915
530	3293	2908
531	3298	2902
532	3305	2895
533	3310	2888
534	3315	2881
535	3321	2875
536	3327	2868
537	3332	2861
538	3337	2854
539	3342	2847
540	3348	2841
541	3354	2834
542	3359	2827
543	3366	2821
544	3372	2815
545	3378	2808
546	3386	2804
547	3391	2797
548	3397	2791
549	3403	2784
550	3408	2777
551	3414	2771
552	3419	2764
553	3425	2757
554	3431	2751
555	3437	2744
556	3442	2737
557	3449	2732
558	3454	2725
559	3460	2718
560	3468	2714
561	3473	2707
562	3480	2701
563	3485	2694
564	3490	2687
565	3497	2681
566	3502	2674
567	3507	2667
568	3514	2662
569	3519	2655
570	3524	2647
571	3530	2642
572	3535	2634
573	3541	2628
574	3547	2622
575	3552	2615
576	3557	2608
577	3566	2604
578	3571	2597
579	3578	2591
580	3583	2584
581	3588	2577
582	3595	2571
583	3600	2564
584	3605	2557
585	3612	2551
586	3617	2545
587	3622	2538
588	3629	2532
589	3635	2526
590	3641	2520
591	3647	2513
592	3652	2506
593	3659	2501
594	3665	2494
595	3670	2487
596	3677	2482
597	3683	2476
598	3689	2470
599	3695	2463
600	3700	2456
601	3706	2450
602	3711	2443
603	3716	2436
604	3723	2431
605	3728	2424
606	3733	2417
607	3740	2411
608	3745	2404
609	3750	2398
610	3757	2392
611	3762	2385
612	3767	2378
613	3775	2373
614	3782	2367
615	3788	2361
616	3794	2355
617	3799	2348
618	3805	2342
619	3811	2335
620	3816	2329
621	3823	2323
622	3828	2316
623	3833	2309
624	3839	2303
625	3844	2297
626	3850	2290
627	3856	2284
628	3861	2277
629	3866	2270
630	3874	2265
631	3880	2259
632	3886	2253
633	3891	2246
634	3896	2239
635	3903	2233
636	3908	2227
637	3913	2220
638	3919	2214
639	3924	2207
640	3929	2200
641	3936	2194
642	3941	2188
643	3947	2181
644	3953	2176
645	3959	2169
646	3964	2163
647	3972	2157
648	3977	2151
649	3984	2145
650	3989	2138
651	3995	2132
652	4001	2126
653	4006	2119
654	4012	2113
655	4018	2107
656	4023	2100
657	4029	2094
658	4034	2087
659	4040	2081
660	4045	2074
661	4052	2068
662	4057	2062
663	4062	2055
664	4069	2050
665	4074	2043
666	4079	2036
667	4086	2030
668	4091	2024
669	4096	2017
670	4103	2012
671	4108	2005
672	4114	1999
673	4120	1992
674	4125	1986
675	4131	1980
676	4139	1974
677	4144	1968
678	4151	1962
679	4156	1955
680	4161	1949
681	4168	1943
682	4172	1936
683	4178	1930
684	4184	1924
685	4189	1917
686	4196	1911
687	4201	1905
688	4207	1898
689	4213	1892
690	4218	1886
691	4224	1880
692	4230	1874
693	4237	1868
694	4242	1862
695	4249	1856
696	4254	1849
697	4260	1843
698	4266	1837
699	4271	1830
700	4276	1823
701	4281	1817
702	4287	1811
703	4293	1805
704	4299	1798
705	4306	1793
706	4314	1788
707	4320	1781
708	4327	1776
709	4332	1769
710	4337	1763
711	4344	1757
712	4351	1751
713	4356	1745
714	4362	1739
715	4368	1732
716	4373	1726
717	4378	1719
718	4383	1713
719	4388	1706
720	4396	1701
721	4401	1694
722	4407	1688
723	4412	1682
724	4418	1675
725	4424	1669
726	4430	1663
727	4435	1657
